OriginalPath,Station,Year,CopyName,Status,Reason
\\geodata\Ice\FIELDWORK\2024\TAS\TAS_2024_Maintenance_sheets.pdf,TAS_A,2024,TAS_A_2024.pdf,Copied,Combined TAS file; copied once per station (A/L/U)
\\geodata\Ice\FIELDWORK\2024\TAS\TAS_2024_Maintenance_sheets.pdf,TAS_L,2024,TAS_L_2024.pdf,Copied,Combined TAS file; copied once per station (A/L/U)
\\geodata\Ice\FIELDWORK\2024\TAS\TAS_2024_Maintenance_sheets.pdf,TAS_U,2024,TAS_U_2024.pdf,Copied,Combined TAS file; copied once per station (A/L/U)
\\geodata\Ice\FIELDWORK\2025\GC-Net South\CP1\Maintenance sheets\Maintenance_sheet_CP1_May2025.pdf,CP1,2025,CP1_2025.pdf,Copied,
\\geodata\Ice\FIELDWORK\2025\GC-Net South\DY2\Maintenance sheets\Maintenance_sheet_DY2CC_May2025.pdf,DY2_CC,2025,DY2_CC_2025.pdf,Copied,Treated as separate station per user instruction (CC variant)
\\geodata\Ice\FIELDWORK\2025\GC-Net South\DY2\Maintenance sheets\Maintenance_sheet_DY2_May2025.pdf,DY2,2025,DY2_2025.pdf,Copied,
\\geodata\Ice\FIELDWORK\2025\GC-Net South\KAN_U\Maintenance sheets\Maintenance_sheet_KAN-U_May2025.pdf,KAN_U,2025,KAN_U_2025.pdf,Copied,
\\geodata\Ice\FIELDWORK\2025\GC-Net South\KAN_U_1st\maintenance sheets\Maintenance_sheet_KAN-U_May2025.pdf,KAN_U,2025,KAN_U_2025_2.pdf,Copied,1st visit variant
\\geodata\Ice\FIELDWORK\2025\GC-Net South\NAU\Maintenance sheets\Maintenance_sheet_NAU_May2025.pdf,NAU,2025,NAU_2025.pdf,Copied,
\\geodata\Ice\FIELDWORK\2025\GC-Net South\NSE\Maintenance sheets\Maintenance_sheet_NSE_May2025.pdf,NSE,2025,NSE_2025.pdf,Copied,
\\geodata\Ice\FIELDWORK\2025\GC-Net South\NSE\Maintenance sheets\NSE_MaintenanceSheet_20250521_074214.jpg,NSE,2025,NSE_2025_2.jpg,Copied,
\\geodata\Ice\FIELDWORK\2025\GC-Net South\NSE\Maintenance sheets\NSE_MaintenanceSheet_20250521_074222.jpg,NSE,2025,NSE_2025_3.jpg,Copied,
\\geodata\Ice\FIELDWORK\2025\GC-Net South\SDL\Maintenance sheets\Maintenance_sheet_SDL_May2025.pdf,SDL,2025,SDL_2025.pdf,Copied,
